id,type,dc\.identifier,definition,inScheme,notation,note,prefLabel,topConceptOf,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/concept/opslaglocatie/geotechniek,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.opslaglocatie.geotechniek,Tijdelijke opslaglocatie voor geologische stalen bij Afdeling Geotechniek (Departement Mobiliteit en Openbare Werken) te Zwijnaarde.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/opslaglocatie,Geotechniek,Tijdelijke opslaglocatie voor geologische stalen bij Afdeling Geotechniek (Departement Mobiliteit en Openbare Werken) te Zwijnaarde.,Afdeling Geotechniek,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/opslaglocatie,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/opslaglocatie/geotheek,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.opslaglocatie.geotheek,Opslaglocatie voor geologische stalen van het Departement Omgeving in het Depot van de Vlaamse overheid te Vilvoorde.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/opslaglocatie,Geotheek,Opslaglocatie voor geologische stalen van het Departement Omgeving in het Depot van de Vlaamse overheid te Vilvoorde.,Geotheek Vilvoorde,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/opslaglocatie,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/opslaglocatie/han,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.opslaglocatie.han,De grotten van Han (Han-sur-Lesse),https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/opslaglocatie,Han,De grotten van Han (Han-sur-Lesse),De grotten van Han,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/opslaglocatie,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/opslaglocatie/steenkoolmijnen,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.opslaglocatie.steenkoolmijnen,Ondergrondse steenkoolmijnen in Limburg.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/opslaglocatie,Steenkoolmijnen,Ondergrondse steenkoolmijnen in Limburg.,Steenkoolmijnen in Limburg,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/opslaglocatie,null
https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/opslaglocatie,http://www.w3.org/2004/02/skos/core#ConceptScheme,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.opslaglocatie,null,null,null,null,Codelijst opslaglocaties,null,https://data.bodemenondergrond.vlaanderen.be/id/concept/opslaglocatie/geotechniek|https://data.bodemenondergrond.vlaanderen.be/id/concept/opslaglocatie/geotheek|https://data.bodemenondergrond.vlaanderen.be/id/concept/opslaglocatie/han|https://data.bodemenondergrond.vlaanderen.be/id/concept/opslaglocatie/steenkoolmijnen
