uri,dc.identifier,notation,prefLabel,definition,inScheme,topConceptOf
conceptscheme:opslaglocatie,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.opslaglocatie,,Codelijst opslaglocaties,,,
concept:geotechniek,be.vlaanderen.bodemenondergrond.data.id.concept.opslaglocatie.geotechniek,Geotechniek,Afdeling Geotechniek,"Tijdelijke opslaglocatie voor geologische stalen bij Afdeling Geotechniek (Departement Mobiliteit en Openbare Werken) te Zwijnaarde.",conceptscheme:opslaglocatie,conceptscheme:opslaglocatie
concept:han,be.vlaanderen.bodemenondergrond.data.id.concept.opslaglocatie.han,Han,"De grotten van Han","De grotten van Han (Han-sur-Lesse)",conceptscheme:opslaglocatie,conceptscheme:opslaglocatie
concept:geotheek,be.vlaanderen.bodemenondergrond.data.id.concept.opslaglocatie.geotheek,Geotheek,"Geotheek Vilvoorde","Opslaglocatie voor geologische stalen van het Departement Omgeving in het Depot van de Vlaamse overheid te Vilvoorde.",conceptscheme:opslaglocatie,conceptscheme:opslaglocatie
concept:steenkoolmijnen,be.vlaanderen.bodemenondergrond.data.id.concept.opslaglocatie.steenkoolmijnen,Steenkoolmijnen,"Steenkoolmijnen in Limburg","Ondergrondse steenkoolmijnen in Limburg.",conceptscheme:opslaglocatie,conceptscheme:opslaglocatie

